rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category
540791,164713,mobile,ended,-27.0,,,0- No delay
565274,371841,mobile,ended,-3.0,,,0- No delay
540403,338940,mobile,ended,-196.0,,,0- No delay
565753,399967,mobile,ended,-70.0,,,0- No delay
565096,412931,mobile,ended,-86.0,,,0- No delay
540051,228695,mobile,ended,-78.0,,,0- No delay
539900,380833,mobile,ended,-4.0,,,0- No delay
539866,348526,connect,ended,-137.0,,,0- No delay
539798,337219,connect,ended,-22.0,,,0- No delay
539541,408078,mobile,ended,-18.0,,,0- No delay
540873,391968,mobile,ended,-8.0,,,0- No delay
539477,393442,mobile,ended,-56.0,,,0- No delay
539416,356630,mobile,ended,-12.0,,,0- No delay
539317,305816,connect,ended,-159.0,,,0- No delay
539171,372878,mobile,ended,-8.0,543033.0,60.0,0- No delay
565632,392018,mobile,ended,-1.0,,,0- No delay
538820,261263,mobile,ended,-35.0,533521.0,180.0,0- No delay
538663,408937,mobile,ended,-25.0,,,0- No delay
538657,404146,mobile,ended,-36.0,538335.0,720.0,0- No delay
538640,399528,connect,ended,-1.0,,,0- No delay
538512,360299,connect,ended,-46.0,,,0- No delay
538275,281955,mobile,ended,-28.0,,,0- No delay
538270,394555,connect,ended,-43.0,,,0- No delay
538149,176252,mobile,ended,-184.0,,,0- No delay
538002,347538,mobile,ended,-16.0,,,0- No delay
539436,293785,mobile,ended,-11.0,,,0- No delay
567161,336886,mobile,ended,-29.0,,,0- No delay
564855,381470,mobile,ended,-48.0,,,0- No delay
564543,393044,connect,ended,-65.0,,,0- No delay
561048,332582,connect,ended,-12.0,,,0- No delay
561347,228659,mobile,ended,-44.0,,,0- No delay
561645,383625,connect,ended,-138.0,567392.0,0.0,0- No delay
561807,402308,mobile,ended,-3.0,,,0- No delay
561914,364827,mobile,ended,-5.0,,,0- No delay
543816,292298,mobile,ended,-15.0,,,0- No delay
561921,325328,connect,ended,-9.0,,,0- No delay
543742,356762,mobile,ended,-4.0,,,0- No delay
562021,368432,mobile,ended,-2.0,,,0- No delay
