model_key,mileage,engine_power,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,rental_price_per_day,fuel_electro,fuel_hybrid_petrol,fuel_petrol,car_type_coupe,car_type_estate,car_type_hatchback,car_type_sedan,car_type_subcompact,car_type_suv,car_type_van
Citroën,140411,100,1,1,0,0,1,1,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,183297,120,0,0,0,0,1,0,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,128035,135,1,1,0,0,1,1,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,97097,160,1,1,0,0,0,1,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,205219,145,1,1,0,0,1,1,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,115560,105,1,1,0,0,0,1,78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,123886,125,1,0,0,0,0,1,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,139541,135,0,0,0,0,1,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,77115,135,1,1,0,0,1,0,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,228000,145,1,1,0,0,1,0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,132025,135,1,1,0,0,1,1,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,77061,135,1,1,0,0,1,1,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,174631,120,1,1,0,0,0,0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,208945,130,1,1,0,0,1,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,21167,135,0,0,1,0,0,0,148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,205474,145,1,1,0,0,1,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,128940,110,1,0,0,0,0,0,88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,24868,100,0,1,0,0,0,0,176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,90401,135,1,1,0,0,1,1,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,46963,140,0,1,0,0,0,1,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,43662,180,1,0,0,0,1,0,144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,196092,85,1,0,0,0,0,0,42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,113678,190,1,1,0,0,1,1,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,65988,135,1,1,0,0,1,1,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,123809,125,1,0,0,0,0,1,81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,181252,120,1,1,0,0,1,0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,195114,105,1,1,0,0,0,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,82761,110,1,0,0,0,0,1,97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,25050,100,0,1,0,0,0,0,176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,64832,135,1,1,0,0,1,1,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,240788,120,1,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,124516,125,1,0,0,0,0,1,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,187294,105,1,0,0,0,0,1,49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
